session,vote_number,vote_question_text,member_full,vote_cast,vote_id,numerical_vote
2,187,On Passage of the Bill H.R. 3230,Fischer (R-NE),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Flake (R-AZ),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Franken (D-MN),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Gillibrand (D-NY),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Graham (R-SC),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Grassley (R-IA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Hagan (D-NC),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Harkin (D-IA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Hatch (R-UT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Heinrich (D-NM),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Heitkamp (D-ND),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Heller (R-NV),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Hirono (D-HI),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Hoeven (R-ND),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Inhofe (R-OK),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Isakson (R-GA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Johanns (R-NE),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Johnson (D-SD),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Johnson (R-WI),Nay,2:187,1
2,187,On Passage of the Bill H.R. 3230,Kaine (D-VA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,King (I-ME),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Kirk (R-IL),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Klobuchar (D-MN),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Landrieu (D-LA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Leahy (D-VT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Lee (R-UT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Levin (D-MI),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Manchin (D-WV),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Markey (D-MA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,McCain (R-AZ),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,McCaskill (D-MO),Not Voting,2:187,0
2,187,On Passage of the Bill H.R. 3230,McConnell (R-KY),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Menendez (D-NJ),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Merkley (D-OR),Not Voting,2:187,0
2,187,On Passage of the Bill H.R. 3230,Mikulski (D-MD),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Moran (R-KS),Not Voting,2:187,0
2,187,On Passage of the Bill H.R. 3230,Murkowski (R-AK),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Murphy (D-CT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Murray (D-WA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Nelson (D-FL),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Paul (R-KY),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Portman (R-OH),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Pryor (D-AR),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Reed (D-RI),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Reid (D-NV),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Risch (R-ID),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Roberts (R-KS),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Rockefeller (D-WV),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Rubio (R-FL),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Sanders (I-VT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Schatz (D-HI),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Schumer (D-NY),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Scott (R-SC),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Sessions (R-AL),Nay,2:187,1
2,187,On Passage of the Bill H.R. 3230,Shaheen (D-NH),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Shelby (R-AL),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Stabenow (D-MI),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Tester (D-MT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Thune (R-SD),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Toomey (R-PA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Udall (D-CO),Yea,2:187,2
